symbol,name,group
sz300750,宁德时代,新能源车
sz002594,比亚迪,新能源车
sh601633,长城汽车,新能源车
sz000625,长安汽车,新能源车
sh600418,江淮汽车,新能源车
sh601238,广汽集团,新能源车
sz002466,天齐锂业,新能源车
sz002460,赣锋锂业,新能源车
sh603799,华友钴业,新能源车
sz002812,恩捷股份,新能源车
sh601012,隆基绿能,光伏
sh600438,通威股份,光伏
sz300274,阳光电源,光伏
sz002129,中环股份,光伏
sz002459,晶澳科技,光伏
sh688599,天合光能,光伏
sz300316,晶盛机电,光伏
sh603806,福斯特,光伏
sh600732,爱旭股份,光伏
sz300827,上能电气,光伏
sz300014,亿纬锂能,锂电池
sz300769,德方纳米,锂电池
sz300073,当升科技,锂电池
sz300037,新宙邦,锂电池
sz002709,天赐材料,锂电池
sz002407,多氟多,锂电池
sz002759,天际股份,锂电池
sh600884,杉杉股份,锂电池
sh603659,璞泰来,锂电池
sz300750,宁德时代,锂电池
sh688981,中芯国际,半导体
sz002371,北方华创,半导体
sh603501,韦尔股份,半导体
sh603986,兆易创新,半导体
sz300782,卓胜微,半导体
sz300661,圣邦股份,半导体
sz300223,北京君正,半导体
sh600460,士兰微,半导体
sh603290,斯达半导,半导体
sh600584,长电科技,半导体
sz002230,科大讯飞,人工智能
sz002415,海康威视,人工智能
sz002236,大华股份,人工智能
sh688256,寒武纪,人工智能
sh688088,虹软科技,人工智能
sh688327,云从科技,人工智能
sh688207,格灵深瞳,人工智能
sz300229,拓尔思,人工智能
sz300418,昆仑万维,人工智能
sh600602,云赛智联,人工智能
sz002747,埃斯顿,机器人
sz300024,机器人,机器人
sz300607,拓斯达,机器人
sz002527,新时达,机器人
sz002896,中大力德,机器人
sh603728,鸣志电器,机器人
sh688017,绿的谐波,机器人
sz002472,双环传动,机器人
sz300503,昊志机电,机器人
sh688218,江苏北人,机器人
sh600760,中航沈飞,军工
sh600893,航发动力,军工
sz000768,中航西飞,军工
sh600316,洪都航空,军工
sh600038,中直股份,军工
sz002179,中航光电,军工
sz002025,航天电器,军工
sh603712,七一二,军工
sh688002,睿创微纳,军工
sz000733,振华科技,军工
sh600276,恒瑞医药,创新药
sh603259,药明康德,创新药
sh688235,百济神州,创新药
sh688331,荣昌生物,创新药
sz300558,贝达药业,创新药
sz300759,康龙化成,创新药
sz300347,泰格医药,创新药
sz002821,凯莱英,创新药
sh603127,昭衍新药,创新药
sh688202,美迪西,创新药
sz002475,立讯精密,消费电子
sz002241,歌尔股份,消费电子
sz300433,蓝思科技,消费电子
sh600745,闻泰科技,消费电子
sh688036,传音控股,消费电子
sh601231,环旭电子,消费电子
sz002600,领益智造,消费电子
sz300136,信维通信,消费电子
sz300709,精研科技,消费电子
sz002036,联创电子,消费电子
sh600536,中国软件,数字经济
sh688111,金山办公,数字经济
sh600588,用友网络,数字经济
sh600845,宝信软件,数字经济
sz002410,广联达,数字经济
sh603019,中科曙光,数字经济
sz000977,浪潮信息,数字经济
sz000938,紫光股份,数字经济
sz300454,深信服,数字经济
sh688561,奇安信,数字经济
sz300274,阳光电源,储能
sh688063,派能科技,储能
sh688390,固德威,储能
sz300763,锦浪科技,储能
sh605117,德业股份,储能
sz002335,科华数据,储能
sz300693,盛弘股份,储能
sz300068,南都电源,储能
sz002518,科士达,储能
sz300750,宁德时代,储能
sz300001,特锐德,充电桩
sz002276,万马股份,充电桩
sz002227,奥特迅,充电桩
sz002364,中恒电气,充电桩
sz000400,许继电气,充电桩
sh600406,国电南瑞,充电桩
sz002334,英威腾,充电桩
sz300491,通合科技,充电桩
sz300510,金冠股份,充电桩
sz300444,双杰电气,充电桩
