code,name,avg_amplitude,adx_ratio,max_rise_6m,ann_volatility
1,平安银行,1.33,65.8,11.07,15.87
2,万  科Ａ,2.8,83.3,11.04,31.66
6,深振业Ａ,4.47,55.0,37.19,50.74
7,全新好,4.97,83.3,60.54,44.89
8,神州高铁,2.88,86.7,27.24,33.96
9,中国宝安,2.73,62.5,10.08,33.22
11,深物业A,2.95,71.7,8.42,36.81
12,南  玻Ａ,3.15,96.7,29.95,33.6
14,沙河股份,3.63,89.2,23.2,50.41
17,深中华A,3.21,89.2,11.91,40.91
19,深粮控股,3.04,80.0,21.31,30.14
20,深华发Ａ,3.47,99.2,69.8,47.97
21,深科技,5.32,89.2,98.05,53.84
25,特  力Ａ,2.69,80.0,11.88,32.53
26,飞亚达,4.21,85.0,105.42,55.16
27,深圳能源,2.96,87.5,23.93,28.21
28,国药一致,1.59,80.8,10.34,15.98
29,深深房Ａ,4.42,94.2,60.37,51.45
30,富奥股份,2.6,74.2,20.9,28.55
31,大悦城,4.2,90.8,38.65,38.27
32,深桑达Ａ,4.82,52.5,62.91,49.2
34,神州数码,4.12,92.5,35.61,44.72
35,中国天楹,4.05,85.8,50.36,39.88
36,华联控股,5.13,72.5,42.26,56.17
37,深南电A,4.53,84.2,57.72,49.39
39,中集集团,4.92,77.5,45.33,42.83
42,中洲控股,3.13,80.0,38.71,33.17
45,深纺织Ａ,3.3,68.3,22.38,43.37
48,京基智农,5.08,95.0,79.24,52.11
49,德赛电池,2.99,89.2,22.83,32.98
50,深天马Ａ,3.7,89.2,35.92,35.17
55,方大集团,3.28,96.7,23.96,32.68
58,深 赛 格,2.72,72.5,10.9,31.24
59,华锦股份,3.72,100.0,33.94,34.07
60,中金岭南,4.79,75.0,59.89,48.39
61,农 产 品,3.24,84.2,9.54,38.93
62,深圳华强,4.68,81.7,70.03,49.28
63,中兴通讯,3.48,91.7,23.03,46.96
65,北方国际,4.14,62.5,37.46,45.04
66,中国长城,4.54,72.5,82.18,49.55
68,华控赛格,3.36,74.2,33.33,34.91
69,华侨城Ａ,3.26,89.2,14.11,34.52
70,特发信息,6.79,65.0,123.33,74.13
88,盐 田 港,1.61,55.0,6.09,16.53
89,深圳机场,1.66,80.0,8.99,16.03
90,天健集团,2.67,72.5,21.7,32.94
96,广聚能源,2.7,100.0,30.48,32.48
