code,name,avg_amplitude,adx_ratio,max_rise_6m,ann_volatility,total_score
2008,大族激光,5.93,100.0,303.52,58.19,1.0
2353,杰瑞股份,6.0,100.0,156.67,55.25,1.0
300319,麦捷科技,4.74,100.0,195.21,52.11,1.0
300398,飞凯材料,5.29,100.0,118.12,54.54,1.0
300400,劲拓股份,5.56,100.0,148.34,55.88,1.0
300433,蓝思科技,5.18,100.0,117.68,58.49,1.0
300553,集智股份,5.26,100.0,133.32,56.12,1.0
300656,民德电子,5.81,100.0,101.15,54.07,1.0
300679,电连技术,4.96,100.0,121.92,50.93,1.0
301053,远信工业,5.5,100.0,110.87,50.88,1.0
301566,达利凯普,5.58,100.0,113.57,55.52,1.0
301568,思泰克,4.92,100.0,166.19,53.57,1.0
600230,沧州大化,5.6,100.0,104.16,54.51,1.0
600549,厦门钨业,6.26,100.0,137.74,57.73,1.0
603608,天创时尚,6.6,100.0,288.75,57.03,1.0
603663,三祥新材,5.21,100.0,186.4,54.95,1.0
603931,格林达,4.86,100.0,152.89,51.41,1.0
605198,安德利,4.73,100.0,140.44,53.19,1.0
605358,立昂微,5.42,100.0,128.26,54.69,1.0
688127,蓝特光学,5.79,100.0,182.98,51.94,1.0
688231,DR隆达股,5.83,100.0,112.35,56.84,1.0
688625,呈和科技,7.02,100.0,244.42,56.66,1.0
688017,绿的谐波,6.38,100.0,177.83,60.74,0.9981
300522,世名科技,4.21,99.2,117.45,54.15,0.9976
301349,信德新材,5.2,99.2,114.45,52.37,0.9976
2718,友邦吊顶,6.22,99.2,319.43,60.08,0.9974
688082,盛美上海,5.21,100.0,186.11,61.98,0.995
2436,兴森科技,5.67,98.3,177.89,59.35,0.9949
2903,宇环数控,5.55,98.3,156.99,54.21,0.9949
301322,绿通科技,4.85,98.3,120.69,54.4,0.9949
688403,汇成股份,6.79,100.0,119.42,62.84,0.9929
2192,融捷股份,5.83,97.5,121.92,56.87,0.9925
300668,杰恩股份,7.44,97.5,239.92,58.94,0.9925
300837,浙矿股份,5.59,97.5,102.73,57.74,0.9925
603308,应流股份,5.71,97.5,105.5,57.46,0.9925
300221,银禧科技,4.9,100.0,96.98,52.54,0.9924
300666,江丰电子,6.45,100.0,250.17,63.08,0.9923
605376,博迁新材,6.34,100.0,305.09,63.29,0.9918
2015,协鑫能科,5.92,99.2,144.85,62.45,0.9915
688003,天准科技,6.3,98.3,131.35,61.37,0.9915
811,冰轮环境,5.47,96.7,185.52,59.27,0.9901
2202,金风科技,5.42,96.7,116.85,57.71,0.9901
2421,达实智能,4.67,96.7,133.88,53.12,0.9901
300939,秋田微,5.31,96.7,131.27,53.65,0.9901
301502,华阳智能,4.77,96.7,122.5,50.23,0.9901
600176,中国巨石,5.61,96.7,288.98,52.05,0.9901
