code,name,group,pnl,return_pct,trades,win_rate,sharpe,max_dd,max_dd_days
sz301209,联合化学,,186985.63,186.99,4,100.0,1.4693,16.5,72
sh688143,长盈通,,481905.38,481.91,7,100.0,1.3067,24.15,77
sz300255,常山药业,,88577.74,88.58,7,42.9,0.9809,20.72,154
sz002364,中恒电气,,144816.43,144.82,6,83.3,1.177,24.46,104
sz300607,拓斯达,,59606.87,59.61,8,50.0,0.6567,28.04,181
sz002131,利欧股份,,89154.6,89.15,8,62.5,0.9451,29.12,177
sh688521,芯原股份,,77929.31,77.93,8,62.5,0.7432,44.98,96
sh600580,卧龙电驱,,273762.25,273.76,7,100.0,2.6118,8.49,100
sz301377,鼎泰高科,,243149.86,243.15,6,83.3,1.894,16.26,80
sz002779,中坚科技,,65680.07,65.68,8,62.5,0.9076,21.81,55
sz002460,赣锋锂业,,89854.24,89.85,7,71.4,1.0954,22.9,148
sz000858,五粮液,,-19265.7,-19.27,5,20.0,-1.1527,23.04,393
sz000333,美的,,-11235.06,-11.24,7,14.3,-0.8355,14.49,298
sh603259,药明,,63368.97,63.37,3,100.0,1.0235,19.76,105
sz300638,广和,,73763.56,73.76,4,75.0,1.031,14.27,195
sz002881,美格,,9562.59,9.56,9,44.4,0.1951,29.47,195
sh603118,共进,,43286.76,43.29,4,50.0,0.7411,15.33,87
sh600507,方大特钢,,5489.41,5.49,8,37.5,0.0948,14.81,156
sh601088,中国神华,,-18262.0,-18.26,5,40.0,-0.8198,20.78,345
sz300654,世纪天鸿,,28136.53,28.14,7,57.1,0.5292,14.72,86
sh603011,合锻智能,,106833.25,106.83,7,71.4,1.2065,21.55,86
sh688095,福昕软件,,20111.03,20.11,5,60.0,0.339,32.62,389
sh600895,张江高科,,19525.49,19.53,4,50.0,0.4043,14.12,98
sh600119,长江投资,,40662.13,40.66,6,50.0,0.6368,26.19,175
sz301308,江波龙,,53662.17,53.66,7,71.4,0.7154,25.85,153
sz002466,天齐锂业,,3035.72,3.04,11,36.4,0.0966,34.48,180
sh688168,安博通,,81859.31,81.86,5,60.0,1.1874,14.09,107
sh688195,腾景科技,,358748.26,358.75,8,87.5,1.6454,23.42,107
sz002413,雷科防务,,13515.74,13.52,8,37.5,0.2585,25.03,119
sz002813,路畅科技,,-25745.15,-25.75,5,40.0,-0.5682,35.66,391
sz300007,汉威科技,,96854.06,96.85,4,75.0,1.1242,14.96,156
sz300502,新易盛,,166912.34,166.91,4,100.0,1.7436,7.72,142
sz000962,东方钽业,,134906.14,134.91,6,83.3,1.3575,22.59,115
sz002050,三花智控,,104034.82,104.03,8,75.0,1.2279,30.69,220
sz300842,帝科股份,,75458.42,75.46,6,83.3,0.9911,17.41,70
sh600198,大唐电信,,90812.12,90.81,11,72.7,1.063,27.86,108
