code,name,group,pnl,return_pct,trades,win_rate,sharpe,max_dd,max_dd_days
sz002008,大族激光,,20513.04,20.51,1,100.0,0.6776,16.47,65.0
sz002151,北斗星通,,-9024.1,-9.02,2,0.0,-1.819,9.02,60.0
sz002169,智光电气,,-7317.81,-7.32,1,0.0,-0.6777,14.3,59.0
sz002353,杰瑞股份,,2120.81,2.12,2,50.0,0.0484,18.17,85.0
sz002730,电光科技,,36044.66,36.04,2,100.0,1.4587,7.32,12.0
sz300319,麦捷科技,,-22877.05,-22.88,1,0.0,-0.8061,29.04,139.0
sz300398,飞凯材料,,24998.5,25.0,2,50.0,0.6839,16.34,69.0
sz300400,劲拓股份,,-34496.9,-34.5,2,0.0,-0.9899,39.2,139.0
sz300433,蓝思科技,,-19553.22,-19.55,1,0.0,-0.9923,27.04,71.0
sz300553,集智股份,,29865.05,29.87,2,100.0,0.9088,10.42,73.0
sz300656,民德电子,,1415.18,1.42,2,50.0,0.0312,20.59,58.0
sz300679,电连技术,,-3285.54,-3.29,2,50.0,-0.1423,23.54,79.0
sz300970,华绿生物,,-5096.76,-5.1,2,50.0,-0.3988,14.72,116.0
sz301053,远信工业,,20361.08,20.36,1,100.0,0.7525,3.92,55.0
sz301566,达利凯普,,-22427.51,-22.43,1,0.0,-0.9873,29.87,58.0
sz301568,思泰克,,-8989.57,-8.99,1,0.0,-1.348,8.99,54.0
sh600230,沧州大化,,-27957.57,-27.96,3,0.0,-1.4255,31.69,119.0
sh600500,中化国际,,-2439.62,-2.44,2,50.0,-0.8854,6.09,48.0
sh600549,厦门钨业,,36905.2,36.91,4,50.0,1.4603,7.88,139.0
sh603608,天创时尚,,-18792.1,-18.79,2,0.0,-1.2882,18.79,168.0
sh603663,三祥新材,,11461.7,11.46,2,100.0,0.422,10.2,55.0
sh603931,格林达,,61981.99,61.98,4,75.0,1.7616,13.18,64.0
sh605111,新洁能,,-10383.3,-10.38,1,0.0,-0.6368,17.27,72.0
sh605198,安德利,,61973.45,61.97,3,100.0,2.2129,5.9,60.0
sh605358,立昂微,,28261.77,28.26,3,66.7,1.0288,14.38,69.0
sh688127,蓝特光学,,-4290.74,-4.29,2,50.0,-0.118,24.0,73.0
sh688163,赛伦生物,,-22968.57,-22.97,3,33.3,-0.6616,35.2,124.0
sh688231,DR隆达股,,-914.6,-0.91,2,50.0,-0.2043,12.27,102.0
sh688625,呈和科技,,7866.76,7.87,4,50.0,0.3375,16.42,105.0
sh688017,绿的谐波,,60569.73,60.57,3,66.7,1.1826,18.32,83.0
sz300522,世名科技,,27529.39,27.53,3,33.3,0.8381,17.75,110.0
sz300825,阿尔特,,-15760.67,-15.76,1,0.0,-0.4954,27.0,132.0
sz301349,信德新材,,43284.52,43.28,4,50.0,1.0068,11.81,137.0
sz002718,友邦吊顶,,-20031.63,-20.03,1,0.0,-1.705,20.13,49.0
sh688082,盛美上海,,-7361.59,-7.36,2,0.0,-0.6266,15.53,69.0
sz000608,阳光股份,,1881.82,1.88,2,50.0,0.0814,25.43,85.0
sz002436,兴森科技,,1983.03,1.98,3,66.7,0.077,19.35,138.0
sz002903,宇环数控,,29615.35,29.62,1,100.0,1.2186,6.71,12.0
sz300983,尤安设计,,-387.55,-0.39,4,50.0,-0.0708,14.12,116.0
sz301322,绿通科技,,37553.37,37.55,4,75.0,0.8407,29.2,140.0
sh600226,亨通股份,,1526.28,1.53,2,50.0,0.0001,12.07,68.0
sh688479,友车科技,,-5855.63,-5.86,1,0.0,-1.0214,9.78,63.0
sh688403,汇成股份,,21819.91,21.82,2,50.0,0.7059,17.45,64.0
sz002192,融捷股份,,14780.69,14.78,3,33.3,0.5175,20.69,137.0
sz002810,山东赫达,,-3012.28,-3.01,1,0.0,-0.4356,10.37,56.0
sz300668,杰恩股份,,9248.2,9.25,3,33.3,0.3137,17.69,110.0
sz300837,浙矿股份,,-17164.17,-17.16,2,0.0,-0.8912,22.22,139.0
sz301115,联检科技,,2681.53,2.68,2,50.0,0.0115,5.76,50.0
sh603308,应流股份,,24056.52,24.06,1,100.0,0.6685,21.12,85.0
sz300221,银禧科技,,4923.85,4.92,3,33.3,0.1958,22.49,117.0
sz300666,江丰电子,,671.6,0.67,2,50.0,0.019,18.92,139.0
sh605376,博迁新材,,65363.82,65.36,3,100.0,1.9795,4.31,72.0
sz002015,协鑫能科,,28984.23,28.98,3,66.7,0.9251,14.93,132.0
sh688003,天准科技,,56338.73,56.34,2,100.0,1.3855,11.77,72.0
sz000811,冰轮环境,,5871.42,5.87,1,100.0,0.2762,8.3,18.0
sz001211,双枪科技,,16561.85,16.56,2,50.0,0.6869,12.26,20.0
sz002202,金风科技,,-22788.84,-22.79,2,0.0,-1.3901,25.05,142.0
sz002421,达实智能,,33418.1,33.42,3,66.7,1.0588,15.32,60.0
sz300939,秋田微,,-936.62,-0.94,0,0.0,-0.4455,5.43,22.0
sz301502,华阳智能,,-22518.54,-22.52,2,0.0,-1.3047,23.1,151.0
sh600176,中国巨石,,1838.89,1.84,0,0.0,0.0182,11.08,62.0
sh603150,万朗磁塑,,-13704.74,-13.7,1,0.0,-0.7663,18.87,116.0
sh603876,鼎胜新材,,37340.62,37.34,2,100.0,1.6378,1.93,65.0
sh688150,莱特光电,,35445.53,35.45,3,66.7,1.0056,17.05,139.0
sh688378,奥来德,,36236.24,36.24,2,50.0,1.0389,17.05,78.0
sh688667,菱电电控,,16289.94,16.29,3,33.3,0.4797,23.88,128.0
sh688777,中控技术,,-11727.39,-11.73,2,0.0,-1.477,13.02,106.0
sh600481,双良节能,,9676.96,9.68,3,33.3,0.3624,20.33,69.0
sh688295,中复神鹰,,6394.32,6.39,3,33.3,0.2379,19.27,61.0
sz301317,鑫磊股份,,-12282.91,-12.28,1,0.0,-0.3513,21.68,116.0
sh688456,有研粉材,,32845.66,32.85,4,50.0,1.2016,13.31,110.0
sz300334,津膜科技,,52571.54,52.57,3,100.0,1.6477,4.47,80.0
sh603186,华正新材,,-10994.74,-10.99,2,0.0,-1.0281,17.61,69.0
sh600227,赤天化,,49347.69,49.35,4,75.0,1.4166,11.42,120.0
sh603507,振江股份,,-3047.42,-3.05,1,0.0,-0.0739,19.38,81.0
sh603826,坤彩科技,,-15414.88,-15.41,2,0.0,-1.3444,15.41,72.0
sh603897,长城科技,,5051.21,5.05,3,66.7,0.1796,30.54,55.0
sh603985,恒润股份,,63599.13,63.6,2,100.0,1.4024,13.33,91.0
sh688786,悦安新材,,-6535.45,-6.54,1,0.0,-0.2156,16.99,69.0
sz002413,雷科防务,,4368.11,4.37,4,50.0,0.1617,20.72,119.0
sz300912,凯龙高科,,23967.94,23.97,3,33.3,0.8341,9.28,149.0
sz002348,高乐股份,,80323.65,80.32,5,60.0,1.4287,29.88,115.0
sh688503,聚和材料,,20603.92,20.6,4,50.0,0.6659,18.53,82.0
sz300478,杭州高新,,32072.06,32.07,2,100.0,0.9114,12.38,60.0
sz002560,通达股份,,21309.95,21.31,3,100.0,0.9728,6.65,89.0
sh688257,新锐股份,,7326.57,7.33,5,40.0,0.2582,22.14,54.0
sz300985,致远新能,,467.15,0.47,1,0.0,-0.1672,8.41,54.0
